Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Projects Count
"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,Hire,0
"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,Hire,8
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,Hire,8
"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,3
"Python, Deep Learning",5,B.Tech,None,Data Scientist,Hire,10
"Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,2
"C++, Java, SQL",3,PhD,Deep Learning Specialization,Software Engineer,Hire,4
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,Hire,10
"Machine Learning, Python, Deep Learning",9,B.Tech,None,Data Scientist,Hire,0
"Ethical Hacking, Linux, Cybersecurity",4,MBA,None,Cybersecurity Analyst,Hire,9
"SQL, React, C++",7,B.Tech,AWS Certified,Software Engineer,Hire,0
"Networking, Cybersecurity, Ethical Hacking, Linux",0,PhD,AWS Certified,Cybersecurity Analyst,Reject,5
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,Hire,5
"Python, Deep Learning, SQL, Machine Learning",1,B.Tech,AWS Certified,Data Scientist,Hire,9
"TensorFlow, Pytorch",5,PhD,AWS Certified,AI Researcher,Hire,4
"Linux, Cybersecurity, Networking",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,1
"Ethical Hacking, Linux",7,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,0
"Java, SQL, React, C++",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,4
"Pytorch, TensorFlow",2,MBA,AWS Certified,AI Researcher,Hire,6
"C++, SQL",7,MBA,AWS Certified,Software Engineer,Hire,8
"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,None,Cybersecurity Analyst,Reject,0
"SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,8
"C++, Java",0,B.Sc,None,Software Engineer,Reject,8
"Deep Learning, SQL, Python, Machine Learning",8,MBA,AWS Certified,Data Scientist,Hire,0
"Python, NLP, TensorFlow",7,B.Sc,Google ML,AI Researcher,Hire,8
"Cybersecurity, Networking",3,MBA,None,Cybersecurity Analyst,Hire,9
"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,Hire,10
"Cybersecurity, Ethical Hacking, Networking, Linux",6,MBA,Google ML,Cybersecurity Analyst,Hire,10
"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,Hire,7
"SQL, Java, React",3,B.Sc,None,Software Engineer,Hire,9
"Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,Reject,3
"Ethical Hacking, Linux",2,M.Tech,None,Cybersecurity Analyst,Hire,7
"Networking, Ethical Hacking",1,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,6
"React, C++, SQL, Java",0,M.Tech,None,Software Engineer,Reject,0
"Python, Deep Learning, SQL, Machine Learning",9,PhD,None,Data Scientist,Hire,5
"Python, Machine Learning, Deep Learning",0,B.Tech,Google ML,Data Scientist,Reject,3
"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,Hire,9
"Python, Pytorch, TensorFlow, NLP",7,B.Sc,Google ML,AI Researcher,Hire,7
"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,Hire,10
"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,Hire,9
"SQL, Deep Learning, Machine Learning",6,M.Tech,None,Data Scientist,Hire,2
"Networking, Ethical Hacking",0,B.Tech,None,Cybersecurity Analyst,Reject,4
"Linux, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,4
"Networking, Linux, Cybersecurity, Ethical Hacking",7,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,2
"SQL, Java",3,B.Sc,None,Software Engineer,Hire,6
"TensorFlow, Python, NLP, Pytorch",1,B.Sc,AWS Certified,AI Researcher,Reject,1
"React, Java, SQL",4,M.Tech,Deep Learning Specialization,Software Engineer,Hire,5
"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,Hire,9
"Linux, Cybersecurity, Ethical Hacking",2,B.Sc,None,Cybersecurity Analyst,Reject,2
"Python, NLP",5,B.Tech,None,AI Researcher,Hire,8
"Deep Learning, Python",6,MBA,Deep Learning Specialization,Data Scientist,Hire,7
"Linux, Networking, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,Hire,5
"Java, C++, React",7,PhD,None,Software Engineer,Hire,6
"React, Java, SQL",3,B.Sc,None,Software Engineer,Reject,0
"NLP, Pytorch, Python",4,PhD,Google ML,AI Researcher,Hire,9
"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,Hire,0
"Cybersecurity, Linux, Ethical Hacking",3,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,5
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,2
"C++, React",8,B.Sc,Deep Learning Specialization,Software Engineer,Hire,7
"Python, Machine Learning, Deep Learning",0,B.Sc,Deep Learning Specialization,Data Scientist,Hire,10
"SQL, Python",8,B.Sc,Deep Learning Specialization,Data Scientist,Hire,10
"SQL, Python, Deep Learning, Machine Learning",2,B.Tech,Google ML,Data Scientist,Hire,10
"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,Hire,1
"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,Hire,6
"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,2
"TensorFlow, Python, NLP, Pytorch",4,B.Tech,None,AI Researcher,Hire,4
"React, C++",6,B.Tech,Google ML,Software Engineer,Hire,7
"Linux, Ethical Hacking, Networking",10,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,1
"NLP, Pytorch, TensorFlow",1,B.Tech,AWS Certified,AI Researcher,Reject,1
"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,2
"Pytorch, NLP, Python",10,MBA,Google ML,AI Researcher,Hire,2
"Deep Learning, Python, SQL, Machine Learning",1,PhD,AWS Certified,Data Scientist,Reject,3
"NLP, TensorFlow",8,MBA,None,AI Researcher,Hire,1
"NLP, Python",9,M.Tech,None,AI Researcher,Hire,5
"C++, React, Java",9,B.Tech,Deep Learning Specialization,Software Engineer,Hire,8
"Python, Machine Learning, SQL",6,PhD,None,Data Scientist,Hire,1
"Python, Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,8
"Java, SQL",3,B.Tech,Deep Learning Specialization,Software Engineer,Reject,1
"Machine Learning, Deep Learning, SQL, Python",3,M.Tech,AWS Certified,Data Scientist,Reject,0
"Ethical Hacking, Linux",1,PhD,None,Cybersecurity Analyst,Hire,9
"Machine Learning, Python, Deep Learning",1,MBA,Deep Learning Specialization,Data Scientist,Reject,4
"Pytorch, NLP, Python, TensorFlow",5,B.Tech,None,AI Researcher,Hire,6
"Cybersecurity, Linux, Ethical Hacking",5,MBA,AWS Certified,Cybersecurity Analyst,Hire,5
"Cybersecurity, Networking, Linux, Ethical Hacking",6,B.Sc,None,Cybersecurity Analyst,Hire,7
"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,10
"Python, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,6
"Cybersecurity, Linux, Ethical Hacking",3,MBA,None,Cybersecurity Analyst,Hire,9
"React, SQL, Java",1,B.Sc,Google ML,Software Engineer,Hire,9
"NLP, Pytorch, TensorFlow",8,MBA,Deep Learning Specialization,AI Researcher,Hire,6
"TensorFlow, NLP, Python",4,MBA,AWS Certified,AI Researcher,Hire,6
"Networking, Linux",3,MBA,None,Cybersecurity Analyst,Hire,6
"Python, SQL",0,PhD,Deep Learning Specialization,Data Scientist,Hire,9
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,Hire,0
"Cybersecurity, Networking",4,PhD,None,Cybersecurity Analyst,Reject,0
"C++, Java, React",4,MBA,Google ML,Software Engineer,Hire,0
"Pytorch, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,Hire,9
"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,Hire,1
"Java, React, C++, SQL",7,PhD,Deep Learning Specialization,Software Engineer,Hire,6
"Deep Learning, SQL, Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,Reject,4
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,None,Data Scientist,Hire,0
"SQL, Machine Learning, Python, Deep Learning",2,MBA,AWS Certified,Data Scientist,Hire,6
"Cybersecurity, Ethical Hacking, Linux",1,B.Tech,Google ML,Cybersecurity Analyst,Hire,7
"Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,Hire,1
"Python, Deep Learning",2,B.Tech,AWS Certified,Data Scientist,Hire,5
"NLP, TensorFlow, Pytorch, Python",8,B.Sc,Deep Learning Specialization,AI Researcher,Hire,0
"C++, React, Java, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,6
"SQL, C++",3,B.Tech,Deep Learning Specialization,Software Engineer,Hire,4
"Python, NLP, Pytorch, TensorFlow",4,B.Sc,None,AI Researcher,Hire,8
"Cybersecurity, Linux, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,10
"React, Java",5,PhD,None,Software Engineer,Hire,8
"Networking, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,Hire,9
"SQL, Python, Machine Learning",10,PhD,AWS Certified,Data Scientist,Hire,0
"Pytorch, NLP",4,B.Tech,Google ML,AI Researcher,Hire,10
"Cybersecurity, Ethical Hacking",2,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"SQL, C++, React",7,M.Tech,AWS Certified,Software Engineer,Hire,4
"SQL, React, C++, Java",3,PhD,Deep Learning Specialization,Software Engineer,Hire,8
"Networking, Cybersecurity, Linux, Ethical Hacking",5,B.Sc,None,Cybersecurity Analyst,Hire,7
"Python, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,Hire,5
"Java, React, C++",0,PhD,Deep Learning Specialization,Software Engineer,Reject,2
"Python, Deep Learning, Machine Learning, SQL",3,PhD,Google ML,Data Scientist,Hire,10
"Java, React",9,B.Tech,AWS Certified,Software Engineer,Hire,1
"C++, SQL",6,MBA,AWS Certified,Software Engineer,Hire,3
"Deep Learning, Python, Machine Learning",9,MBA,Google ML,Data Scientist,Hire,10
"Networking, Cybersecurity",5,MBA,None,Cybersecurity Analyst,Hire,6
"Machine Learning, SQL, Deep Learning",7,MBA,Google ML,Data Scientist,Hire,6
"Java, C++, SQL, React",4,B.Tech,None,Software Engineer,Hire,7
"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,Hire,0
"Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,6
"TensorFlow, Python, NLP",10,MBA,None,AI Researcher,Hire,0
"Machine Learning, Python",8,B.Sc,None,Data Scientist,Hire,7
"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,4
"SQL, React, Java",0,M.Tech,None,Software Engineer,Reject,0
"Networking, Ethical Hacking, Cybersecurity",10,B.Sc,Google ML,Cybersecurity Analyst,Hire,5
"Python, Machine Learning, Deep Learning",8,B.Sc,Deep Learning Specialization,Data Scientist,Hire,0
"Java, SQL, React",5,MBA,None,Software Engineer,Hire,8
"Java, React, C++, SQL",3,B.Sc,Google ML,Software Engineer,Hire,9
"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,Hire,8
"NLP, TensorFlow, Python, Pytorch",0,M.Tech,Google ML,AI Researcher,Hire,8
"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,10
"Linux, Networking",6,PhD,None,Cybersecurity Analyst,Hire,9
"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,8
"TensorFlow, Python, NLP",6,B.Tech,Google ML,AI Researcher,Hire,4
"NLP, Pytorch, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,Hire,8
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,Hire,6
"Pytorch, Python",8,B.Sc,AWS Certified,AI Researcher,Hire,10
"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,Reject,3
"Ethical Hacking, Networking",10,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,6
"TensorFlow, Pytorch, Python, NLP",4,MBA,AWS Certified,AI Researcher,Hire,2
"Pytorch, Python, TensorFlow, NLP",5,B.Sc,Google ML,AI Researcher,Hire,10
"Cybersecurity, Ethical Hacking, Networking, Linux",3,PhD,None,Cybersecurity Analyst,Hire,5
"C++, Java, SQL",2,MBA,Google ML,Software Engineer,Hire,7
"Pytorch, Python",4,B.Sc,AWS Certified,AI Researcher,Hire,9
"Python, TensorFlow, Pytorch, NLP",8,PhD,AWS Certified,AI Researcher,Hire,10
"SQL, Deep Learning, Machine Learning, Python",1,PhD,None,Data Scientist,Reject,6
"TensorFlow, NLP, Python",0,MBA,Google ML,AI Researcher,Reject,2
"SQL, Machine Learning, Deep Learning",9,B.Tech,None,Data Scientist,Hire,0
"Machine Learning, SQL, Python, Deep Learning",2,MBA,Google ML,Data Scientist,Hire,6
"Python, Machine Learning",10,MBA,Google ML,Data Scientist,Hire,5
"Deep Learning, Machine Learning, SQL",1,B.Tech,None,Data Scientist,Reject,6
"SQL, Python",8,MBA,Deep Learning Specialization,Data Scientist,Hire,10
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,0
"SQL, Machine Learning",1,B.Sc,Deep Learning Specialization,Data Scientist,Reject,1
"Machine Learning, Python, SQL",0,MBA,Google ML,Data Scientist,Reject,5
"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,10
"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,Hire,1
"Networking, Cybersecurity, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,Hire,8
"C++, Java, React, SQL",10,MBA,Deep Learning Specialization,Software Engineer,Hire,9
"Ethical Hacking, Networking",8,B.Sc,None,Cybersecurity Analyst,Hire,1
"Ethical Hacking, Linux",6,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,2
"TensorFlow, Python, NLP",10,MBA,None,AI Researcher,Hire,6
"C++, React, SQL, Java",1,M.Tech,Google ML,Software Engineer,Hire,9
"SQL, Machine Learning, Deep Learning, Python",3,PhD,None,Data Scientist,Hire,9
"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,Hire,9
"C++, React, Java",10,B.Sc,Google ML,Software Engineer,Hire,8
"Deep Learning, Machine Learning, SQL",2,PhD,Deep Learning Specialization,Data Scientist,Hire,10
"Machine Learning, Python, SQL",6,B.Tech,Deep Learning Specialization,Data Scientist,Hire,8
"React, SQL, Java, C++",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,0
"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,9
"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,1
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,2
"Java, React, SQL, C++",8,M.Tech,Google ML,Software Engineer,Hire,7
"Java, SQL, C++, React",3,B.Tech,Deep Learning Specialization,Software Engineer,Reject,0
"NLP, TensorFlow, Python, Pytorch",9,PhD,AWS Certified,AI Researcher,Hire,10
"Pytorch, TensorFlow, NLP, Python",5,MBA,AWS Certified,AI Researcher,Hire,0
"SQL, Deep Learning, Python, Machine Learning",7,B.Tech,None,Data Scientist,Hire,2
"Linux, Networking",4,M.Tech,None,Cybersecurity Analyst,Reject,0
"SQL, C++, React",1,M.Tech,Deep Learning Specialization,Software Engineer,Reject,4
"Networking, Ethical Hacking",0,PhD,Deep Learning Specialization,Cybersecurity Analyst,Reject,5
"TensorFlow, Python, NLP",7,B.Sc,Deep Learning Specialization,AI Researcher,Hire,9
"Machine Learning, Python",5,B.Tech,Google ML,Data Scientist,Hire,4
"Pytorch, TensorFlow",9,PhD,Google ML,AI Researcher,Hire,2
"Ethical Hacking, Linux",7,PhD,None,Cybersecurity Analyst,Hire,0
"Networking, Ethical Hacking, Linux, Cybersecurity",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"Networking, Ethical Hacking, Cybersecurity, Linux",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"Cybersecurity, Linux, Ethical Hacking",1,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,9
"Cybersecurity, Linux, Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,4
"Java, React, SQL, C++",1,B.Sc,None,Software Engineer,Hire,10
"React, C++",9,B.Sc,None,Software Engineer,Hire,6
"SQL, React, Java, C++",9,MBA,Google ML,Software Engineer,Hire,7
"Ethical Hacking, Linux",4,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"SQL, Java, C++",2,B.Sc,AWS Certified,Software Engineer,Reject,1
"C++, React, SQL",9,PhD,Google ML,Software Engineer,Hire,5
"Python, NLP, Pytorch",2,PhD,AWS Certified,AI Researcher,Reject,1
"NLP, Pytorch, TensorFlow",9,B.Sc,None,AI Researcher,Hire,10
"Linux, Networking, Cybersecurity, Ethical Hacking",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,4
"Machine Learning, Deep Learning, SQL",0,B.Sc,AWS Certified,Data Scientist,Reject,6
"SQL, C++",7,B.Sc,AWS Certified,Software Engineer,Hire,7
"Networking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,Hire,0
"Java, React, SQL",1,PhD,None,Software Engineer,Reject,1
"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,Hire,9
"SQL, Machine Learning, Deep Learning, Python",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,5
"TensorFlow, NLP, Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,Hire,7
"Deep Learning, Machine Learning, SQL",5,M.Tech,None,Data Scientist,Hire,9
"Python, Machine Learning",7,B.Sc,AWS Certified,Data Scientist,Hire,2
"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,0
"Python, Deep Learning, SQL, Machine Learning",5,MBA,Google ML,Data Scientist,Hire,0
"Networking, Linux",2,B.Sc,None,Cybersecurity Analyst,Reject,0
"React, SQL",4,PhD,None,Software Engineer,Hire,10
"Java, React, C++, SQL",8,B.Tech,Google ML,Software Engineer,Hire,7
"Pytorch, TensorFlow, NLP",4,B.Sc,None,AI Researcher,Hire,5
"Java, C++, SQL",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,0
"TensorFlow, Pytorch, NLP, Python",6,PhD,Google ML,AI Researcher,Hire,10
"SQL, Java, C++, React",5,M.Tech,Deep Learning Specialization,Software Engineer,Hire,9
"Deep Learning, Python, Machine Learning",6,B.Tech,Google ML,Data Scientist,Hire,2
"SQL, C++, React",3,B.Tech,None,Software Engineer,Hire,7
"Ethical Hacking, Networking",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,2
"Machine Learning, Deep Learning",7,B.Tech,AWS Certified,Data Scientist,Hire,8
"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,4
"Pytorch, NLP",1,MBA,None,AI Researcher,Reject,2
"Machine Learning, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,Hire,10
"Networking, Linux, Ethical Hacking, Cybersecurity",3,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,9
"TensorFlow, NLP, Python",3,PhD,AWS Certified,AI Researcher,Hire,7
"Python, Deep Learning, Machine Learning, SQL",9,B.Tech,Google ML,Data Scientist,Hire,9
"React, C++, Java, SQL",5,B.Sc,None,Software Engineer,Hire,3
"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,Hire,0
"React, C++, Java, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,7
"Machine Learning, Python, Deep Learning, SQL",1,B.Sc,Google ML,Data Scientist,Reject,4
"React, SQL, Java, C++",1,PhD,None,Software Engineer,Reject,1
"Ethical Hacking, Networking, Cybersecurity",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,8
"Machine Learning, Deep Learning, Python",7,B.Tech,Deep Learning Specialization,Data Scientist,Hire,0
"Cybersecurity, Linux, Networking, Ethical Hacking",0,MBA,None,Cybersecurity Analyst,Hire,10
"Cybersecurity, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,Reject,5
"NLP, Python",5,B.Tech,AWS Certified,AI Researcher,Hire,3
"TensorFlow, Python",10,PhD,AWS Certified,AI Researcher,Hire,6
"NLP, Pytorch, Python",0,MBA,None,AI Researcher,Reject,0
"React, Java, C++",6,B.Sc,AWS Certified,Software Engineer,Hire,5
"Networking, Linux",10,PhD,None,Cybersecurity Analyst,Hire,2
"SQL, Deep Learning",5,B.Sc,Google ML,Data Scientist,Hire,5
"C++, Java, React, SQL",9,MBA,AWS Certified,Software Engineer,Hire,4
"React, Java",3,M.Tech,AWS Certified,Software Engineer,Hire,9
"Linux, Cybersecurity, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,8
"C++, SQL",2,M.Tech,AWS Certified,Software Engineer,Reject,4
"TensorFlow, Python, NLP, Pytorch",9,MBA,None,AI Researcher,Hire,0
"Machine Learning, Python, Deep Learning",7,B.Tech,None,Data Scientist,Hire,8
"C++, React",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,10
"Python, TensorFlow, Pytorch",1,B.Sc,Deep Learning Specialization,AI Researcher,Hire,7
"Ethical Hacking, Networking",6,M.Tech,None,Cybersecurity Analyst,Hire,7
"Python, Machine Learning",5,B.Sc,None,Data Scientist,Hire,1
"React, Java, SQL, C++",8,B.Sc,AWS Certified,Software Engineer,Hire,2
"React, C++, Java",8,MBA,AWS Certified,Software Engineer,Hire,0
"SQL, Java, React, C++",3,M.Tech,Google ML,Software Engineer,Hire,9
"Deep Learning, SQL",1,B.Tech,AWS Certified,Data Scientist,Reject,4
"Python, Machine Learning, SQL",0,B.Tech,AWS Certified,Data Scientist,Reject,4
"React, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,8
"C++, Java",5,PhD,Google ML,Software Engineer,Hire,8
"TensorFlow, Python",5,B.Sc,None,AI Researcher,Hire,6
"Ethical Hacking, Cybersecurity, Linux",6,MBA,Google ML,Cybersecurity Analyst,Hire,1
"TensorFlow, Python",1,M.Tech,Deep Learning Specialization,AI Researcher,Reject,4
"Python, SQL, Machine Learning",9,MBA,Deep Learning Specialization,Data Scientist,Hire,2
"Linux, Networking, Ethical Hacking",3,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,3
"C++, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,5
"Linux, Ethical Hacking",3,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,2
"SQL, React, Java",2,MBA,Google ML,Software Engineer,Reject,1
"Machine Learning, Python, SQL, Deep Learning",9,M.Tech,None,Data Scientist,Hire,10
"Deep Learning, SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,Hire,1
"Pytorch, TensorFlow, NLP",6,MBA,Deep Learning Specialization,AI Researcher,Hire,4
"Pytorch, Python, TensorFlow",7,B.Sc,None,AI Researcher,Hire,3
"Pytorch, NLP, Python",10,M.Tech,Deep Learning Specialization,AI Researcher,Hire,2
"Python, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,Hire,2
"Machine Learning, Python, Deep Learning",3,M.Tech,None,Data Scientist,Hire,7
"NLP, Python, TensorFlow",7,B.Sc,None,AI Researcher,Hire,9
"NLP, Pytorch, TensorFlow",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,4
"C++, React, SQL, Java",9,B.Tech,Google ML,Software Engineer,Hire,9
"NLP, TensorFlow, Pytorch, Python",0,B.Sc,Google ML,AI Researcher,Reject,1
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,0
"React, SQL",10,MBA,AWS Certified,Software Engineer,Hire,0
"Python, Deep Learning, Machine Learning",5,M.Tech,None,Data Scientist,Hire,10
"Cybersecurity, Networking, Ethical Hacking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,3
"Pytorch, TensorFlow, NLP",4,B.Tech,None,AI Researcher,Hire,3
"C++, React, SQL, Java",5,M.Tech,None,Software Engineer,Hire,6
"NLP, TensorFlow, Python, Pytorch",8,MBA,None,AI Researcher,Hire,3
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,None,Cybersecurity Analyst,Hire,2
"Java, React, C++, SQL",5,MBA,Google ML,Software Engineer,Hire,1
"Java, SQL",3,PhD,Google ML,Software Engineer,Hire,10
"NLP, Pytorch",8,B.Sc,AWS Certified,AI Researcher,Hire,4
"Java, C++, SQL, React",7,B.Sc,Google ML,Software Engineer,Hire,9
"Pytorch, Python, TensorFlow",4,MBA,None,AI Researcher,Hire,2
"Networking, Ethical Hacking, Linux",3,M.Tech,None,Cybersecurity Analyst,Hire,8
"TensorFlow, Python, Pytorch, NLP",2,B.Sc,Deep Learning Specialization,AI Researcher,Hire,4
"SQL, React, C++, Java",8,M.Tech,Google ML,Software Engineer,Hire,7
"TensorFlow, NLP, Python, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,Hire,9
"Deep Learning, SQL, Machine Learning",6,MBA,Deep Learning Specialization,Data Scientist,Hire,8
"TensorFlow, NLP, Python, Pytorch",4,M.Tech,AWS Certified,AI Researcher,Hire,10
"Python, TensorFlow, NLP",10,M.Tech,None,AI Researcher,Hire,8
"Cybersecurity, Ethical Hacking, Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,3
"Pytorch, NLP",5,M.Tech,AWS Certified,AI Researcher,Hire,4
"Cybersecurity, Ethical Hacking, Linux, Networking",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,7
"Python, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,6
"SQL, C++",0,B.Tech,Google ML,Software Engineer,Reject,5
"Python, TensorFlow, Pytorch",0,M.Tech,None,AI Researcher,Reject,1
"SQL, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,5
"TensorFlow, NLP, Python, Pytorch",3,B.Sc,None,AI Researcher,Hire,8
"Cybersecurity, Networking",4,PhD,None,Cybersecurity Analyst,Reject,2
"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"Ethical Hacking, Networking, Linux, Cybersecurity",1,B.Sc,Google ML,Cybersecurity Analyst,Hire,9
"TensorFlow, Pytorch, Python, NLP",10,B.Tech,AWS Certified,AI Researcher,Hire,6
"C++, React",7,PhD,None,Software Engineer,Hire,1
"React, SQL, Java",0,B.Tech,AWS Certified,Software Engineer,Reject,3
"Pytorch, TensorFlow, Python",6,B.Tech,None,AI Researcher,Hire,7
"TensorFlow, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,Hire,9
"TensorFlow, NLP",7,M.Tech,Deep Learning Specialization,AI Researcher,Hire,6
"SQL, Machine Learning",5,B.Sc,Deep Learning Specialization,Data Scientist,Hire,6
"Ethical Hacking, Linux, Networking, Cybersecurity",3,PhD,None,Cybersecurity Analyst,Hire,4
"Networking, Cybersecurity",1,PhD,None,Cybersecurity Analyst,Hire,9
